name,mw,carbon_fraction,gamma,C,N,P,S,K,Mg,Ca,Fe,Zn,Mn,Cu,Mo,Co,Ni,B,H,O,Na,Cl
"Ammonium chloride, NH4Cl",53.489,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
"Ammonium sulfate, (NH4)2SO4",132.134,0.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0
"Diammonium hydrogen phosphate, (NH4)2HPO4",132.056,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0
"Ammonium dihydrogen phosphate, NH4H2PO4",115.025,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0
"Sodium nitrate, NaNO3",84.994,0.0,-8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
"Potassium nitrate, KNO3",101.102,0.0,-8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Urea, CO(NH2)2",60.056,0.199997,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
"Dipotassium hydrogen phosphate, K2HPO4",174.174,0.0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,4,0,0
"Potassium dihydrogen phosphate, KH2PO4",136.084,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0
"Tripotassium phosphate, K3PO4",212.264,0.0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"Disodium hydrogen phosphate, Na2HPO4",141.958,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0
"Sodium dihydrogen phosphate, NaH2PO4",119.976,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0
"Disodium hydrogen phosphate dihydrate, Na2HPO4.2H2O",177.988,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,0
"Potassium sulfate, K2SO4",174.252,0.0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"Sodium sulfate, Na2SO4",142.036,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0
