name,C_pct_CDW,H_C,O_C,N_C,gamma_X,MW_Cmol,N_pct_CDW,P_pct_CDW,S_pct_CDW,K_pct_CDW,Mg_pct_CDW,Ca_pct_CDW,Fe_pct_CDW,Zn_pct_CDW,Mn_pct_CDW,Cu_pct_CDW,Mo_pct_CDW,Co_pct_CDW,Ni_pct_CDW,B_pct_CDW,source
Escherichia coli (Bafna-Ruhrer 2024 metals + Egli macros),45.4558,1.77,0.49,0.24,4.07,24.99635,,3.0303,1,1,0.34965,,0.016807,0.0034965,0.00044053,,0.00023981,,,,"Metals (Fe, Zn, Mg, Mn, Mo) MEASURED by Bafna-Ruhrer J. (2024) PhD thesis, DTU, 'Strategies and tools to select E. coli fermenterphiles for industrial application', Ch.2 Fig.2.4c and Fig.S2.1, from hi"
Escherichia coli,45.0238,1.77,0.49,0.24,4.07,24.99635,,3,1,2,0.05,0.05,0.2,,,,,,,,"CHON: von Stockar U. & Liu J. (1999) Biochim Biophys Acta 1412:191-211 (BioNumbers BNID 101800). Minerals: Neidhardt, Ingraham & Schaechter, Physiology of the Bacterial Cell, Sinauer 1990, p.3 (BNID 1"
"Escherichia coli (measured, Taymaz-Nikerel 2010)",50,2.01,0.48,0.23,4.36,24.93821,,3,0.512,1,0.05,0.05,0.016807,0.0034965,0.00044053,,0.00023981,,,,"Taymaz-Nikerel H. et al. (2010) Biotechnol Bioeng 107(2):369-381 (BNID 111459). Aerobic glucose-limited chemostat, D = 0.025-0.3 /h, freeze-dried biomass. Paper reports degree of reduction 4.37. S% is"
Escherichia coli (CONSENSUS),48.051,1.77,0.49,0.24,4.07,24.99635,,,,,,,,,,,,,,,
Saccharomyces cerevisiae (Battley 1999),45.839,1.613,0.557,0.158,4.025,24.76145,,1.419,0.367,3.283,0.278,0.153,,,,,,,,,"Battley E.H. (1999) Thermochim Acta 326:7-15, formula CH1.613O0.557N0.158P0.012S0.003K0.022Mg0.003Ca0.001, as tabulated by Popovic M. (2019) arXiv:1901.00494. Mineral %CDW are my calculations from tho"
Saccharomyces cerevisiae (Roels),49.5816,1.64,0.52,0.16,4.12,24.22472,,,,,,,,,,,,,,,"Roels J.A. (1983) Energetics and Kinetics in Biotechnology, Elsevier. Also quoted as CH1.64O0.52N0.16 in Chapter 9, Biochemical Engineering and Biotechnology, Elsevier 2025."
"Bacillus subtilis (N-limited, 0.1 /h)",49.9499,1.646,0.41,0.219,4.169,23.29729,,2.447,0.667,,,,,,,,,,,,"Dauner M., Storni T., Sauer U. (2001) J Bacteriol 183(24):7308-7317, Table 2, 'Calculated' row. Experimental row is CHN only. Nitrogen-limited chemostat, D = 0.1 /h. P and S %CDW are my calculations o"
"Bacillus subtilis (P-limited, 0.1 /h)",51.799,1.608,0.364,0.235,4.175,22.74714,,1.07,0.83,,,,,,,,,,,,"Dauner M., Storni T., Sauer U. (2001) J Bacteriol 183(24):7308-7317, Table 2, 'Calculated' row, P-limited chemostat D = 0.1 /h. %CDW are my calculations over MW 23.187 g/C-mol."
Aspergillus niger,47.8418,1.8,0.6,0.12,4.24,25.10564,,,,,,,,,,,,,,,"Lameiras F., Heijnen J.J., van Gulik W.M. (2015) Metabolomics 11:1253-1264, DOI 10.1007/s11306-015-0781-z. Aerobic glucose-limited chemostat, 30 C, pH 3.0, D = 0.043 and 0.089 /h."
Cupriavidus necator (Ralstonia eutropha),47.3798,1.77,0.44,0.25,4.14,24.33647,,,,,,,,,,,,,,,"Aragao G.M.F. (1996) PhD thesis, INSA Toulouse, as quoted by Grunwald S. et al. (2015) Microbial Biotechnology 8(1):155-163, DOI 10.1111/1751-7915.12149: 'C1H1.77O0.44N0.25 (4% ashes) and a molecular "
Candida utilis,50.2641,1.83,0.54,0.1,4.45,23.8958,,,,,,,,,,,,,,,"Herbert D. (1976) 'Stoichiometric aspects of microbial growth', in Continuous Culture 6, Ellis Horwood, pp.1-30, as tabulated by Popovic M. (2019) arXiv:1901.00494."
GENERIC: average bacteria (Roels 1983),48.7731,1.8,0.5,0.2,4.2,24.6263,,,,,,,,,,,,,,,"Roels J.A. (1983) Energetics and Kinetics in Biotechnology, Elsevier. Restated by Heijnen J.J. & Kleerebezem R. (2010) 'Bioenergetics of microbial growth', Encyclopedia of Industrial Biotechnology: 'T"
GENERIC: average bacteria (Abbott & Clamen 1973),57.7134,1.666,0.27,0.2,4.526,20.81146,,,,,,,,,,,,,,,"Abbott B.J. & Clamen A. (1973) Biotechnol Bioeng 15:117-127, as tabulated by Popovic M. (2019) arXiv:1901.00494. O/C of 0.27 versus Roels' 0.50 is a large discrepancy; treat with caution."
GENERIC: average yeast (Roels 1980),50.3067,1.75,0.5,0.15,4.3,23.87555,,,,,,,,,,,,,,,"Roels J.A. (1980) Biotechnol Bioeng 22:2457-2514, and Atkinson B. & Mavituna F. (1983) Biochemical Engineering and Biotechnology Handbook, as quoted in Dynamics of Biological Systems Ch.3: 'yeast as a"
